name,x,y,z,active,renderers,enabled,minY,terrainY
Grove tree 055,107.9568,-5.098154,-221.4214,True,3,3,-5.098291,-5.218291
Grove tree 033,-59.8447,-6.661889,-227.8356,True,3,3,-6.66359,-6.783588
BroadleafTree_02_Green,-218.0148,-7.865832,-239.1817,True,3,3,-7.865893,-7.987024
Grove tree 008,194.3368,1.073883,-177.2368,True,3,3,1.072385,0.9523849
Grove tree 161,-76.40978,-7.600494,-303.0954,True,3,3,-7.60096,-7.720961
Grove tree 029,-65.81712,-5.696834,-239.3081,True,3,3,-5.696943,-5.816943
BroadleafTree_05_Green,156.2753,-0.01772249,-146.89,True,3,3,-0.01801777,-0.1391296
BroadleafTree_05_Green,127.1205,-2.61022,-215.8365,True,3,3,-2.610469,-2.73034
Grove tree 059,122.8195,-4.356371,-223.2724,False,3,3,-4.357651,-3.110154
Grove tree 099,124.7993,-3.737525,-269.4824,True,3,3,-3.73763,-3.85763
Grove tree 148,-74.88081,-7.594498,-311.0764,True,3,3,-7.595744,-7.715746
Grove tree 173,-66.425,-6.555429,-283.4864,True,3,3,-6.555921,-6.67592
Grove tree 183,-165.2562,-6.963431,-94.82806,False,3,3,-6.963544,-6.919985
Grove tree 231,153.5835,-1.069727,-162.5145,True,3,3,-1.069822,-1.189822
Grove tree 141,-222.187,-7.889263,-232.4682,True,3,3,-7.889657,-8.009657
Grove tree 201,-126.7432,-6.222129,-67.33489,False,3,3,-6.223396,-6.596751
Grove tree 108,141.4338,-2.324846,-238.428,True,3,3,-2.326127,-2.446127
Grove tree 093,114.6437,-4.580366,-304.4693,True,3,3,-4.580483,-4.700483
BroadleafTree_05_Green,-92.90269,-7.003813,-300.831,True,3,3,-7.004029,-7.124196
Grove tree 227,143.4234,-3.148788,-170.9936,True,3,3,-3.149384,-3.269383
Grove tree 102,134.9153,-4.147377,-266.5491,False,3,3,-4.147837,-3.872088
Grove tree 060,120.5019,-3.682702,-212.3883,True,3,3,-3.683284,-3.803284
Grove tree 212,254.5933,-0.952722,30.67019,True,3,3,-0.9528189,-1.072819
Grove tree 188,-157.6811,-6.792508,-81.88359,True,3,3,-6.79295,-6.912949
Grove tree 007,189.705,0.8552762,-173.6173,True,3,3,0.8541653,0.7341652
Lakeside willow 8,221.8486,1.620215,-45.16164,True,3,3,1.616934,1.470215
Grove tree 089,114.8578,-3.721341,-317.727,True,3,3,-3.721852,-3.841847
Grove tree 005,178.8246,0.4402949,-176.8793,True,3,3,0.4401922,0.3201923
Grove tree 018,-26.04773,-5.970066,-165.8879,True,3,3,-5.970185,-6.090189
Grove tree 192,-149.5475,-6.744986,-78.43446,True,3,3,-6.746511,-6.866511
Grove tree 031,-158.1928,-6.774687,-89.52089,True,3,3,-6.775638,-6.895638
Grove tree 074,-33.81291,-5.113461,-83.19283,True,3,3,-5.113976,-5.233975
Lakeside willow 3,193.8893,1.774536,-107.2767,True,3,3,1.772897,1.624537
BroadleafTree_05_Green,-74.71771,-7.040891,-285.3907,True,3,3,-7.041118,-7.161303
Grove tree 223,135.02,-1.883763,-183.484,True,3,3,-1.883882,-2.003881
Grove tree 182,-155.554,-7.141773,-107.3908,False,3,3,-7.14233,-6.792001
Grove tree 130,-250.8146,-8.357161,-225.2438,True,3,3,-8.358277,-8.478277
Grove tree 001,173.6865,0.3527614,-180.5174,True,3,3,0.3516378,0.231638
Grove tree 166,-253.8038,-7.134161,-200.4069,True,3,3,-7.135786,-7.255786
Grove tree 218,88.61861,-6.153789,-300.7429,False,3,3,-6.155086,-4.502853
Grove tree 003,-34.47939,-6.268276,-196.1364,True,3,3,-6.269482,-6.389482
Grove tree 077,0.2938538,-6.844573,-337.274,True,3,3,-6.844973,-6.964972
Grove tree 191,-132.5533,-6.407444,-93.43059,True,3,3,-6.407551,-6.527551
Grove tree 154,-226.4888,-7.78921,-224.9014,True,3,3,-7.789327,-7.909327
Grove tree 026,-60.19805,-7.460752,-303.2124,True,3,3,-7.461113,-7.581118
Grove tree 085,102.6012,-5.29655,-327.3342,True,3,3,-5.297131,-5.41713
BroadleafTree_05_Green,-24.96672,-6.500316,-181.2676,True,3,3,-6.500525,-6.620417
Grove tree 002,177.0471,-0.9254354,-192.1573,False,3,3,-0.9269838,-0.3589344
Grove tree 018,1.804123,-7.757453,-350.704,True,3,3,-7.758409,-7.878408
Grove tree 097,120.6703,-3.831394,-276.7032,True,3,3,-3.831831,-3.951831
Grove tree 041,-140.0772,-6.579524,-186.3477,True,3,3,-6.580487,-6.700487
Grove tree 084,89.05381,-4.836883,-322.6942,True,3,3,-4.83734,-4.957338
Grove tree 150,-60.52029,-6.831687,-317.6422,True,3,3,-6.83182,-6.95182
Grove tree 238,-113.5994,-6.934732,-201.1833,True,3,3,-6.934869,-7.054869
Grove tree 128,117.7501,-5.958641,-375.3195,True,3,3,-5.959105,-6.079105
Grove tree 117,157.4254,-1.676832,-224.4499,True,3,3,-1.677979,-1.797978
Grove tree 040,85.51224,-5.371763,-265.3974,True,3,3,-5.37285,-5.49285
Grove tree 140,-228.4663,-7.999637,-230.3346,True,3,3,-8.000091,-8.12009
Grove tree 050,96.83479,-6.363836,-230.9881,True,3,3,-6.364326,-6.484325
Grove tree 054,117.9675,-3.073259,-236.1409,True,3,3,-3.073759,-3.193759
Grove tree 011,100.7027,-5.541627,-251.5956,True,3,3,-5.541976,-5.661973
Grove tree 010,91.56281,-5.061807,-265.1651,True,3,3,-5.062178,-5.182178
Grove tree 078,6.021164,-7.685826,-342.9899,True,3,3,-7.686356,-7.806355
Grove tree 017,-44.5299,-4.611632,-77.3591,True,3,3,-4.611732,-4.731736
Grove tree 069,-57.28622,-5.157455,-79.05336,False,3,3,-5.157554,-5.526352
Grove tree 153,-236.7823,-7.773977,-217.4883,True,3,3,-7.774416,-7.894416
Grove tree 000,171.7466,-0.5508045,-203.3306,True,3,3,-0.5509002,-0.6709003
Grove tree 073,-52.86986,-4.815128,-72.87688,True,3,3,-4.815269,-4.935268
Grove tree 237,-119.4123,-6.929747,-198.2373,True,3,3,-6.931026,-7.051026
Grove tree 136,-81.92903,-7.285804,-313.1158,True,3,3,-7.286932,-7.406932
Grove tree 109,148.8188,-3.240356,-243.1962,False,3,3,-3.241735,-2.703012
Grove tree 215,78.92552,-4.795755,-303.7005,True,3,3,-4.796343,-4.916352
Grove tree 214,68.38137,-6.387467,-297.1761,True,3,3,-6.387961,-6.507961
Grove tree 068,-67.61547,-5.781439,-73.50527,True,3,3,-5.781836,-5.901835
Grove tree 228,148.7451,-1.583369,-175.3761,True,3,3,-1.583482,-1.703475
BroadleafTree_05_Green,-1.712173,-7.29768,-345.138,True,3,3,-7.297929,-7.418133
Grove tree 031,-68.2332,-5.850637,-230.9602,True,3,3,-5.85078,-5.970779
Grove tree 100,131.761,-3.806686,-275.0276,True,3,3,-3.806788,-3.926788
Grove tree 019,8.390793,-7.608955,-336.046,True,3,3,-7.609056,-7.729055
Grove tree 199,-124.2575,-6.383713,-74.48149,True,3,3,-6.384974,-6.504975
Grove tree 152,-244.5216,-7.81915,-214.0375,True,3,3,-7.820568,-7.940568
Grove tree 042,-124.7883,-6.903996,-194.906,True,3,3,-6.904326,-7.024326
Grove tree 091,111.5274,-4.783533,-310.8168,True,3,3,-4.78366,-4.90366
Grove tree 135,-199.4394,-7.584089,-251.8593,True,3,3,-7.584234,-7.704234
Grove tree 019,-21.94975,-5.971648,-160.1496,True,3,3,-5.973304,-6.093304
BroadleafTree_02_Green,2.159447,-3.854448,-105.1738,True,3,3,-3.854502,-3.974877
BroadleafTree_02_Green,115.3183,-6.281881,-380.4824,True,3,3,-6.281937,-6.402297
