x,z,grade,area_m2
-102.115929,-90.46082,0.124021709,1.08971226
-103.194206,-92.6278,0.09484851,0.544849753
-102.693565,-91.17251,0.124025725,0.544847667
-101.5286,-88.2699051,0.124020539,2.17941761
-100.151794,-84.26786,0.07453785,1.08971834
-99.4202042,-85.0434,0.122516222,0.5448681
-100.074829,-85.0114746,0.142378,0.5448486
-99.52598,-82.44875,0.0727534,1.08967125
-99.16988,-84.31576,0.0954236239,0.5448443
-99.57416,-83.5561752,0.0884028,0.5448429
-98.52466,-79.53817,0.07332813,2.179433
-98.7077255,-82.48867,0.0723158047,0.544844866
-98.88108,-83.95992,0.10607335,0.544831
-98.94834,-81.73707,0.0735083,1.08970523
-95.54014,-73.7649,0.08715764,17.4349365
-93.19079,-65.00124,0.104533054,8.717582
-93.88422,-70.88625,0.08866411,8.71754
-105.995644,-95.4506,0.09191537,8.717452
-107.203941,-98.72101,0.08189235,1.08965957
-107.49762,-99.8164444,0.0491629578,0.544831336
-107.738228,-99.06488,0.08873737,0.5448426
-108.325562,-101.255791,0.0157298446,1.08965862
-108.272522,-99.40875,0.09638307,0.5448426
-108.0319,-100.160339,0.04627017,0.544835448
-107.478188,-96.85801,0.0916324556,4.358703
-110.308777,-104.118492,0.0141812647,4.358793
-112.465355,-108.452454,0.0225337781,2.17935324
-111.464027,-105.541862,0.0126290051,2.17936063
-109.885071,-101.919594,0.0204483345,2.17938471
-109.4614,-99.7207,0.0753440857,1.08967781
-109.307457,-101.207909,0.0311881043,1.0896703
-108.460083,-96.81012,0.087889,2.179418
-108.64315,-99.76061,0.07413397,0.5448371
-108.816505,-101.23185,0.03118935,0.5448253
-108.883766,-99.00901,0.07620502,1.08971274
-115.276512,-112.754463,0.02806391,4.35867548
-117.433067,-117.088417,0.00788919,2.17934537
-116.43174,-114.177826,0.0242423676,2.17936444
-120.744873,-122.845726,0.0064599053,4.358599
-118.751961,-118.503807,0.008781461,2.17931676
-116.9227,-114.153893,0.0242423583,1.08974648
-117.924011,-117.064476,0.007889524,1.08973694
-114.43882,-109.8359,0.0230581276,4.35869
-113.110229,-106.941284,0.0409197658,4.358555
-111.11245,-101.859741,0.03685641,1.08968532
-110.27964,-99.68079,0.0759531,0.544804931
-110.616638,-101.144066,0.03685859,0.5448087
-108.951042,-96.78619,0.08788483,1.08965909
-109.702026,-98.96912,0.0773930848,0.5448292
-110.371178,-101.156029,0.0368526168,0.2724343
-110.034172,-99.69276,0.07594742,0.272432417
-111.617973,-104.054649,0.0321832038,2.179394
-112.619293,-106.96524,0.0377656631,2.179398
-106.135033,-91.744545,0.116424531,4.358726
-105.490135,-93.2557,0.09476707,4.358703
-104.967644,-88.4721451,0.0545372181,1.08965492
-104.6452,-89.22772,0.125251353,1.089664
-104.137245,-86.66302,0.05562342,1.0896827
-103.985748,-88.52004,0.125769258,0.5448678
-104.308189,-87.7644653,0.06642203,0.5448423
-104.166382,-91.1007,0.124013647,1.08969581
-104.176086,-92.57993,0.09483508,1.08969617
-104.816124,-90.32916,0.117356807,2.17938256
-101.817055,-82.3370361,0.0679762959,8.717367
-102.669273,-87.4744339,0.128093928,2.17933321
-102.98687,-85.97925,0.0589001477,2.17933369
-103.343269,-90.40096,0.124018312,1.08969355
-103.685143,-92.60386,0.09484409,0.544864953
-103.675423,-91.1246262,0.124020495,0.5448648
-103.656013,-88.1661758,0.105736241,0.5448255
-103.6463,-86.68695,0.04738753,0.5448328
-103.33358,-88.9217453,0.124019317,1.08968639
-97.83124,-73.6531754,0.0868932,8.71744
-94.17269,-64.95336,0.104533836,4.35885763
-96.1753159,-70.77452,0.08762557,4.358828
-99.50656,-79.49029,0.07402954,8.717486
-101.682556,-86.78271,0.103915766,2.17934537
-102.770531,-90.428894,0.124010958,0.544803441
-103.439667,-92.61584,0.0948085859,0.2723861
-103.102661,-91.15255,0.123997018,0.272384882
-102.34684,-88.23,0.115784012,1.08959341
