portal_local_x,portal_local_z,world_x,world_z,terrain_y
0.5,4.5,353.9265,25.58871,0.1234207
1,4.5,354.3799,25.37788,0.1234207
1.5,4.5,354.8333,25.16705,0.1234207
2,4.5,355.2866,24.95622,0.1234207
2.5,4.5,355.74,24.74538,0.1234207
3,4.5,356.1934,24.53454,0.1234207
3.5,4.5,356.6467,24.32372,0.1234207
4,4.5,357.1002,24.11287,0.1234207
4.5,4.5,357.5535,23.90204,0.1234207
5,4.5,358.0069,23.69123,0.1249847
5.5,4.5,358.4603,23.48038,0.2287598
6,4.5,358.9136,23.26956,0.3325348
6.5,4.5,359.367,23.05873,0.365757
7,4.5,359.8204,22.8479,0.3175011
7.5,4.5,360.2738,22.63705,0.3929081
8,4.5,360.7271,22.42621,0.4883499
8.5,4.5,361.1805,22.21539,0.5100784
9,4.5,361.6339,22.00456,0.531805
9.5,4.5,362.0873,21.79373,0.59408
10,4.5,362.5406,21.58289,0.6689396
10.5,4.5,362.994,21.37206,0.7437992
11,4.5,363.4474,21.16123,0.7383194
11.5,4.5,363.9008,20.95038,0.6266575
12,4.5,364.3541,20.73957,0.6452618
12.5,4.5,364.8075,20.52872,0.6714382
13,4.5,365.2609,20.31789,0.6575813
13.5,4.5,365.7143,20.10707,0.643795
14,4.5,366.1677,19.89622,0.6549854
14.5,4.5,366.621,19.68541,0.6830425
15,4.5,367.0744,19.47458,0.7110825
15.5,4.5,367.5278,19.26373,0.6903763
16,4.5,367.9812,19.0529,0.5957966
16.5,4.5,368.4345,18.84207,0.5396519
17,4.5,368.8879,18.63123,0.4624786
17.5,4.5,369.3413,18.4204,0.3492413
18,4.5,369.7946,18.20959,0.236002
18.5,4.5,370.248,17.99874,0.1559734
19,4.5,370.7014,17.78791,0.2154694
19.5,4.5,371.1548,17.57709,0.2749672
20,4.5,371.6082,17.36623,0.3027134
20.5,4.5,372.0615,17.15541,0.2761745
21,4.5,372.5149,16.94456,0.2568092
21.5,4.5,372.9683,16.73375,0.2331505
22,4.5,373.4217,16.52291,0.2016163
22.5,4.5,373.875,16.31208,0.1700897
23,4.5,374.3284,16.10125,0.1316109
23.5,4.5,374.7818,15.89042,0.1234207
24,4.5,375.2352,15.67959,0.1234207
24.5,4.5,375.6885,15.46874,0.1234207
25,4.5,376.1419,15.25791,0.1236362
25.5,4.5,376.5953,15.04708,0.1243286
26,4.5,377.0487,14.83625,0.1246967
26.5,4.5,377.502,14.62543,0.1243744
27,4.5,377.9554,14.41458,0.124054
27.5,4.5,378.4088,14.20377,0.1240444
28,4.5,378.8622,13.99293,0.1247368
28.5,4.5,379.3156,13.78207,0.1254272
29,4.5,379.7689,13.57126,0.1258183
29.5,4.5,380.2223,13.36042,0.1254959
30,4.5,380.6757,13.14959,0.1251755
-2,5,351.8705,27.09624,0.1234207
-1.5,5,352.3239,26.88541,0.1234207
-1,5,352.7772,26.67458,0.1234207
-0.5,5,353.2306,26.46375,0.1234207
0,5,353.684,26.25291,0.1234207
0.5,5,354.1373,26.04208,0.1234207
1,5,354.5907,25.83127,0.1234207
1.5,5,355.0441,25.62042,0.1234207
2,5,355.4975,25.40959,0.1234207
2.5,5,355.9508,25.19876,0.1234207
3,5,356.4042,24.98791,0.1234207
3.5,5,356.8576,24.77709,0.1234207
4,5,357.3109,24.56626,0.1234207
4.5,5,357.7643,24.35543,0.1234207
5,5,358.2177,24.1446,0.203495
5.5,5,358.6711,23.93377,0.2770424
6,5,359.1245,23.72292,0.3808174
6.5,5,359.5778,23.51209,0.469532
7,5,360.0312,23.30127,0.4353905
7.5,5,360.4846,23.09042,0.5919189
8,5,360.938,22.87961,0.7365742
8.5,5,361.3913,22.66878,0.7583027
9,5,361.8447,22.45793,0.7800293
9.5,5,362.2981,22.24711,0.8648605
10,5,362.7515,22.03628,0.8553944
10.5,5,363.2049,21.82543,0.91576
11,5,363.6582,21.6146,0.978384
11.5,5,364.1116,21.40377,0.907753
12,5,364.565,21.19294,0.9628544
12.5,5,365.0184,20.98211,1.0142
13,5,365.4717,20.77127,1.000381
13.5,5,365.9251,20.56044,0.9865246
14,5,366.3785,20.34961,0.9725552
14.5,5,366.8318,20.13876,0.904747
15,5,367.2852,19.92793,0.8696957
15.5,5,367.7386,19.71712,0.893774
16,5,368.192,19.50627,0.8161888
16.5,5,368.6454,19.29545,0.7617378
17,5,369.0987,19.08462,0.7060013
17.5,5,369.5521,18.87377,0.5927639
18,5,370.0055,18.66296,0.4797611
18.5,5,370.4589,18.45211,0.3864632
19,5,370.9122,18.24128,0.3513794
19.5,5,371.3656,18.03045,0.3162975
20,5,371.819,17.81961,0.3621292
20.5,5,372.2724,17.60878,0.3395309
21,5,372.7258,17.39795,0.3201675
21.5,5,373.1791,17.18713,0.3008041
22,5,373.6325,16.97629,0.2694149
22.5,5,374.0859,16.76547,0.231987
23,5,374.5392,16.55462,0.1693287
23.5,5,374.9926,16.34378,0.1512222
24,5,375.446,16.13296,0.1341724
24.5,5,375.8994,15.92213,0.1234207
25,5,376.3528,15.7113,0.1239586
25.5,5,376.8062,15.50046,0.124651
26,5,377.2595,15.28963,0.1253433
26.5,5,377.7129,15.0788,0.1250668
27,5,378.1663,14.86795,0.1247444
27.5,5,378.6196,14.65712,0.124424
28,5,379.073,14.44629,0.1250572
28.5,5,379.5264,14.23547,0.1257496
29,5,379.9797,14.02464,0.126442
29.5,5,380.4331,13.8138,0.1261883
30,5,380.8865,13.60298,0.1258659
-2,5.5,352.0813,27.54961,0.1234207
-1.5,5.5,352.5347,27.3388,0.1234207
-1,5.5,352.988,27.12797,0.1234207
-0.5,5.5,353.4414,26.91713,0.1234207
0,5.5,353.8948,26.7063,0.1234207
