row,worldX,worldZ,designY,terrainY
1,558.8097,-394.0889,9.14591,8.859434
1,559.2346,-394.2449,9.144938,8.776995
1,559.4092,-393.7691,9.143772,8.851002
1,559.5839,-393.2934,9.142473,8.889114
1,559.7586,-392.8176,9.140989,8.927231
1,559.9332,-392.3419,9.139269,8.965349
1,560.1079,-391.8661,9.137265,8.992193
1,560.2827,-391.3904,9.134933,8.988337
1,560.4574,-390.9146,9.132231,8.984493
1,560.632,-390.4388,9.129122,8.980648
1,560.8067,-389.9631,9.125576,8.977772
1,560.9814,-389.4873,9.121565,8.986258
1,561.1561,-389.0115,9.117067,8.994757
1,561.3308,-388.5358,9.112068,8.996941
1,561.5056,-388.0601,9.106556,8.991192
1,561.6802,-387.5843,9.100527,8.995604
1,561.8549,-387.1086,9.093982,9.001472
1,562.0296,-386.6328,9.08693,9.006939
1,562.2043,-386.157,9.079384,9.010403
1,562.379,-385.6812,9.071362,8.989561
1,562.5537,-385.2055,9.06289,8.971058
1,562.7284,-384.7297,9.053996,8.956146
1,562.9031,-384.2539,9.044717,8.941236
1,563.0778,-383.7782,9.035089,8.93445
1,563.4845,-383.9276,9.026615,8.880835
1,563.8913,-384.0769,9.017947,8.830021
1,564.2981,-384.2263,9.009115,8.831736
1,564.7048,-384.3757,9.000153,8.842133
1,565.1116,-384.525,8.991092,8.852528
1,565.5184,-384.6744,8.981966,8.851158
1,565.9252,-384.8237,8.972811,8.827604
1,566.332,-384.9731,8.963659,8.818748
1,566.7388,-385.1225,8.954548,8.813202
1,567.1455,-385.2719,8.945509,8.799376
1,567.5523,-385.4212,8.936578,8.782795
1,567.959,-385.5706,8.927787,8.766216
1,568.3658,-385.7199,8.919167,8.753901
1,568.7726,-385.8693,8.910748,8.746984
1,569.1794,-386.0187,8.902559,8.739613
1,569.5862,-386.168,8.894627,8.729053
1,569.9929,-386.3174,8.886975,8.722752
1,570.3997,-386.4667,8.879627,8.710068
1,570.8065,-386.6161,8.872601,8.697214
1,571.2133,-386.7654,8.865913,8.684359
1,571.62,-386.9148,8.859579,8.677216
1,572.0268,-387.0642,8.853609,8.670012
1,572.4336,-387.2136,8.84801,8.658751
1,572.8404,-387.3629,8.842788,8.647802
2,551.4338,-391.8599,9.178424,9.05341
2,551.882,-392.0245,9.172849,9.05341
2,552.3302,-392.1891,9.167689,9.05341
2,552.7784,-392.3537,9.162938,9.05341
2,553.2267,-392.5183,9.158587,9.05341
2,553.6749,-392.6828,9.154623,9.052864
2,554.1231,-392.8474,9.151028,9.052116
2,554.5714,-393.012,9.147781,9.051865
2,555.0196,-393.1766,9.144862,9.045927
2,555.4678,-393.3412,9.142241,9.027908
2,555.916,-393.5058,9.13989,9.00989
2,556.3643,-393.6703,9.137777,9.001904
2,556.8125,-393.835,9.135869,8.987528
2,557.2607,-393.9995,9.134129,8.973154
2,557.7089,-394.1641,9.132519,8.922714
2,558.1571,-394.3287,9.131001,8.860233
2,558.6053,-394.4933,9.129536,8.773268
2,559.0536,-394.6578,9.128083,8.686295
2,559.5018,-394.8224,9.126603,8.602783
2,559.6765,-394.3466,9.124958,8.707382
2,559.8512,-393.8709,9.123189,8.796028
2,560.0259,-393.3951,9.121252,8.83312
2,560.2006,-392.9194,9.119102,8.864288
2,560.3753,-392.4437,9.116698,8.895485
2,560.55,-391.9679,9.114002,8.925283
2,560.7247,-391.4921,9.110976,8.936159
2,560.8994,-391.0164,9.10759,8.942886
2,561.074,-390.5406,9.103812,8.939053
2,561.2487,-390.0648,9.099621,8.935198
2,561.4235,-389.5891,9.094994,8.942015
2,561.5981,-389.1133,9.089915,8.950508
2,561.7728,-388.6376,9.084375,8.959005
2,561.9475,-388.1618,9.078367,8.967505
2,562.1222,-387.686,9.07189,8.972918
2,562.2969,-387.2103,9.064945,8.976387
2,562.4716,-386.7345,9.057544,8.979862
2,562.6464,-386.2588,9.049698,8.983324
2,562.821,-385.783,9.041426,8.970242
2,562.9957,-385.3073,9.032748,8.937422
2,563.1704,-384.8315,9.023694,8.904585
2,563.345,-384.3557,9.014291,8.889576
2,563.7914,-384.5196,9.005185,8.855242
2,564.2377,-384.6835,8.995834,8.853598
2,564.684,-384.8474,8.986272,8.865004
2,565.1302,-385.0112,8.976532,8.867777
2,565.5765,-385.1751,8.966652,8.841942
2,566.0229,-385.339,8.956668,8.817114
2,566.4692,-385.5029,8.946621,8.811026
2,566.9155,-385.6667,8.93655,8.793388
2,567.3618,-385.8307,8.926494,8.775196
2,567.8081,-385.9945,8.916492,8.757006
2,568.2544,-386.1584,8.906584,8.741686
2,568.7007,-386.3223,8.896808,8.730097
2,569.147,-386.4861,8.887199,8.71851
2,569.5933,-386.65,8.877796,8.710262
2,570.0396,-386.8139,8.868629,8.706089
2,570.486,-386.9778,8.859733,8.69198
2,570.9323,-387.1417,8.851132,8.678665
2,571.3785,-387.3055,8.842856,8.671078
2,571.8248,-387.4694,8.834928,8.663492
2,572.2711,-387.6333,8.827365,8.653008
2,572.7174,-387.7971,8.820186,8.641441
2,573.1637,-387.961,8.813403,8.630016
2,573.61,-388.1249,8.807026,8.616686
2,574.0563,-388.2888,8.801061,8.606113
3,551.2787,-392.2823,9.169145,9.05341
3,551.7504,-392.4556,9.162974,9.05341
3,552.222,-392.6288,9.157223,9.05341
3,552.6937,-392.802,9.151885,9.05341
3,553.1655,-392.9752,9.146951,9.053196
3,553.6371,-393.1483,9.142406,9.05221
3,554.1088,-393.3216,9.138236,9.051394
3,554.5805,-393.4948,9.134417,9.048944
