object,x,z,area,grade
Road 471332807 ,569.737,-382.4859,4.417619,0.1098124
Road 471332807 ,570.1675,-380.3,4.417619,0.1098195
Road 471332807 ,568.5654,-381.5938,4.417544,0.1088504
Road 471332807 ,568.9959,-379.4079,4.417746,0.1093242
Road 471332807 ,567.3938,-380.7018,4.417746,0.1083539
Road 471332807 ,567.8243,-378.5159,4.4176,0.1088304
Road 471332807 ,566.2222,-379.8097,4.417675,0.1078556
Road 471332807 ,566.6528,-377.6237,4.41782,0.1078912
Road 471332807 ,565.0506,-378.9176,4.417746,0.1086764
Road 471332807 ,565.7701,-377.0808,0.4449129,0.1078384
Road 471332807 ,563.879,-378.0255,7.936628,0.1079209
Road 471332807 ,565.0886,-376.4245,0.09630087,0.1072169
Road 471332807 ,563.1881,-376.3858,8.395977,0.1075907
Road 471332807 ,565.0715,-374.9346,4.470286,0.1076056
Road 471332807 ,563.0659,-374.4609,4.469556,0.1079312
Road 471332807 ,565.0543,-373.4447,4.470109,0.107466
Road 471332807 ,563.0487,-372.971,4.470109,0.1079856
Road 471332807 ,565.0372,-371.9547,4.469922,0.1048569
Road 471332807 ,563.0316,-371.4811,4.470287,0.1057879
Road 471332807 ,565.02,-370.4648,4.470106,0.1034931
Road 471332807 ,563.0145,-369.9912,4.470106,0.1044627
Road 471332807 ,565.0029,-368.9749,4.469921,0.1040379
Road 471332807 ,562.9973,-368.5013,4.469921,0.1043319
Road 471332807 ,564.9858,-367.485,4.470289,0.1043402
Road 471332807 ,562.9802,-367.0114,4.469924,0.1043365
Road 471332807 ,564.9687,-365.9951,4.469832,0.104343
Road 471332807 ,562.9631,-365.5215,4.470198,0.1043378
Road 471332807 ,564.9515,-364.5052,4.46983,0.1027259
Road 471332807 ,562.946,-364.0316,4.470195,0.103056
Road 471332807 ,564.9344,-363.0153,4.470469,0.09957959
Road 471332807 ,562.9289,-362.5416,4.469739,0.1001607
Road 471332807 ,564.9173,-361.5254,4.469835,0.09962731
Road 471332807 ,562.9117,-361.0518,4.4702,0.09997638
Road 471332807 ,564.9001,-360.0355,4.469827,0.1000009
Road 471332807 ,562.8946,-359.5619,4.470192,0.09949782
Road 471332807 ,564.8831,-358.5456,4.470105,0.1002633
Road 471332807 ,563.376,-357.942,0.5587059,0.1011707
Road 471332807 ,561.8732,-357.711,0.2793758,0.1709132
Road 471332807 ,562.8732,-357.6995,0.2793644,0.09765121
Road 471332807 ,564.8745,-357.8007,1.117435,0.0988216
Road 471332807 ,561.379,-358.2133,1.117446,0.1476156
Road 471332807 ,562.3818,-358.4502,1.117389,0.1021764
Road 471332807 ,564.8688,-357.304,1.117526,0.09882633
Road 471332807 ,562.8704,-357.4512,0.2793644,0.08799061
Road 471332807 ,561.8704,-357.4627,0.2793758,0.1655844
Road 471332807 ,563.3675,-357.1971,0.5587517,0.1209014
Road 471332807 ,565.863,-356.7959,2.235052,0.09885087
