object,triangle,x,y,z,areaM2,grade
"Continuous asphalt network",8,-179.243164,-5.476158,-189.7452,27.8967514,0.0003617315
"Continuous asphalt network",9,-194.147385,-5.47782373,-183.628128,55.79309,3.888689E-06
"Continuous asphalt network",10,-80.7127762,-5.5036397,-224.174973,35.6558838,0.003048502
"Continuous asphalt network",11,-43.9847145,-5.21404934,-291.973175,22.0974464,0.00464254338
"Continuous asphalt network",12,-40.273777,-5.15705729,-303.769348,11.0490065,0.004619204
"Continuous asphalt network",13,-43.4977264,-5.195395,-296.167755,11.0490379,0.004666924
"Continuous asphalt network",14,-49.94563,-5.271834,-280.964569,11.0486345,0.00478800852
"Continuous asphalt network",15,-53.1695862,-5.30935144,-273.363,11.0486345,0.00455194153
"Continuous asphalt network",16,-47.2086754,-5.2519536,-284.371582,22.0974083,0.0045490833
"Continuous asphalt network",17,-38.5863,-5.15562868,-303.17868,22.0976887,0.004782683
"Continuous asphalt network",18,-40.6852722,-5.193353,-295.183319,22.0976315,0.004771852
"Continuous asphalt network",19,-35.2868462,-5.13651133,-306.3888,44.1953926,0.0043191
"Continuous asphalt network",20,80.6537,-4.4021697,-314.581146,75.81805,0.007787654
"Continuous asphalt network",21,59.4084778,-4.57144833,-316.734344,37.90928,0.008189591
"Continuous asphalt network",22,73.04694,-4.45824766,-313.766022,37.9091721,0.008240657
"Continuous asphalt network",23,37.76948,-4.746303,-317.737885,37.909153,0.007841047
"Continuous asphalt network",24,16.32738,-4.91240358,-319.3162,18.954464,0.00754404441
"Continuous asphalt network",25,30.3596134,-4.80403757,-317.497528,18.9543724,0.007786133
"Continuous asphalt network",26,51.60483,-4.634771,-315.3444,37.9092522,0.008163547
"Continuous asphalt network",27,72.45631,-4.46246672,-312.041534,18.9541,0.008281762
"Continuous asphalt network",28,58.8178368,-4.575668,-315.009857,18.9541531,0.008231127
"Continuous asphalt network",29,-8.14835548,-7.155371,-297.5665,17.3912888,0.008459936
"Continuous asphalt network",30,-16.4589462,-7.032148,-292.993774,12.4817371,0.0202783365
"Continuous asphalt network",31,-15.4014349,-7.081372,-296.269745,12.4819841,0.0102423774
"Continuous asphalt network",32,-20.0713062,-7.013739,-292.294952,24.9632549,0.0114621334
"Continuous asphalt network",33,-30.8136425,-6.298862,-207.923569,32.1883049,0.02393684
"Continuous asphalt network",34,-46.2489281,-5.862053,-197.869141,16.0940971,0.0232464615
"Continuous asphalt network",35,-35.5710258,-6.151325,-203.897812,16.0941238,0.02398506
"Continuous asphalt network",36,-14.2152414,-6.73956156,-215.955124,16.0939941,0.0240578055
"Continuous asphalt network",37,-3.53735662,-7.04154158,-221.98381,16.09399,0.0251966
"Continuous asphalt network",38,-20.1357555,-6.59269571,-213.952225,32.1882362,0.0240106564
"Continuous asphalt network",39,-47.121273,-5.86276245,-199.386276,32.1882057,0.02329481
"Continuous asphalt network",40,-37.0249443,-6.15266943,-206.426346,32.1881676,0.0239650439
"Continuous asphalt network",41,-53.3325653,-5.734182,-197.889053,64.37666,0.0224874783
"Continuous asphalt network",42,42.60862,-8.410226,-174.055527,3.9438765,0.0245585945
"Continuous asphalt network",43,44.1663628,-8.350539,-172.3488,1.971929,0.0188059732
"Continuous asphalt network",44,43.80397,-8.387184,-173.8711,1.97197866,0.0405312367
"Continuous asphalt network",45,46.0590935,-8.292222,-171.04863,0.246489748,0.0236066561
"Continuous asphalt network",46,46.30807,-8.277537,-171.514282,0.0616258346,0.0289757289
"Continuous asphalt network",47,46.3895454,-8.252254,-171.776672,0.061626114,0.159404591
"Continuous asphalt network",48,46.0952721,-8.280644,-171.5013,0.123246223,0.0349353328
"Continuous asphalt network",49,45.6334953,-8.305169,-171.022659,0.4929967,0.04764373
"Continuous asphalt network",50,46.6658936,-8.308598,-170.313461,0.492996275,0.02026951
"Continuous asphalt network",51,46.6114655,-8.285622,-171.146713,0.12324664,0.049652677
"Continuous asphalt network",52,46.56161,-8.252525,-171.6585,0.06162443,0.165460244
"Continuous asphalt network",53,46.4801369,-8.277808,-171.396072,0.06162415,0.03403359
"Continuous asphalt network",54,46.40323,-8.2969265,-170.812241,0.246493161,0.0263406485
"Continuous asphalt network",55,48.04244,-8.323639,-169.3679,0.985971451,0.0029936512
"Continuous asphalt network",56,47.08238,-8.2767725,-170.982422,0.492993385,0.0924842656
"Continuous asphalt network",57,47.26357,-8.313726,-170.221268,0.49299857,0.0207076725
"Continuous asphalt network",58,45.43405,-8.304771,-173.0697,0.9859557,0.06129515
"Continuous asphalt network",59,44.5645943,-8.379647,-174.303635,0.9859913,0.0379440747
"Continuous asphalt network",60,45.3617058,-8.296746,-172.164368,1.971911,0.0728123
"Continuous asphalt network",61,41.7026672,-8.488354,-177.861252,3.94381523,0.02541189
"Continuous asphalt network",62,39.9637566,-8.527297,-180.329086,3.94383335,0.015188016
"Continuous asphalt network",63,41.5579758,-8.453845,-176.050583,7.887737,0.0170760211
"Continuous asphalt network",64,45.76059,-8.334716,-168.070313,15.7753468,0.003887333
"Continuous asphalt network",65,43.00751,-8.366433,-169.961441,15.7754583,0.0219223574
"Continuous asphalt network",66,34.2399063,-8.483072,-187.444336,31.5507965,0.0147332437
"Continuous asphalt network",67,39.8920479,-8.427505,-173.374878,15.7752361,0.009882375
"Continuous asphalt network",68,38.4425163,-8.494679,-179.464035,15.7754431,0.0164147746
"Continuous asphalt network",69,23.8063812,-8.230675,-202.251465,31.5508251,0.025255274
