name,beforeGapM,afterGapM,deltaM
Grove tree 121,0.1199999,-0.01999998,-0.1399999
Grove tree 000,0.1200001,-0.02000022,-0.1400001
Grove tree 108,0.1199999,-0.01999998,-0.1399999
Grove tree 070,0.1199999,-0.01999998,-0.1399999
Grove tree 037,0.1199961,-0.01999998,-0.1399961
Grove tree 143,0.1199999,-0.01999998,-0.1399999
BroadleafTree_05_Green,0.1202035,-0.01999998,-0.1402035
Grove tree 036,0.1200008,-0.01999998,-0.1400008
Grove tree 001,0.1199999,-0.01999998,-0.1399999
Grove tree 158,0.1200008,-0.01999998,-0.1400008
Grove tree 023,0.1199999,-0.01999998,-0.1399999
Grove tree 042,0.1200037,-0.01999998,-0.1400037
Grove tree 130,0.1199999,-0.02000046,-0.1399999
Grove tree 035,0.1199999,-0.01999998,-0.1399999
Lakeside willow 10,0.1493158,-0.01999998,-0.1693158
Grove tree 020,0.1199999,-0.0199995,-0.1399999
Grove tree 050,0.1199999,-0.01999998,-0.1399999
Grove tree 165,0.1199999,-0.01999998,-0.1399999
BroadleafTree_05_Green,0.1211195,-0.01999998,-0.1411195
BroadleafTree_05_Green,0.120244,-0.01999998,-0.140244
Grove tree 091,0.1199999,-0.01999998,-0.1399999
Grove tree 166,0.1199999,-0.01999998,-0.1399999
Grove tree 225,0.1199999,-0.01999998,-0.1399999
BroadleafTree_05_Green,0.1201973,-0.01999998,-0.1401973
Grove tree 170,0.1199999,-0.01999998,-0.1399999
Grove tree 202,0.1199999,-0.01999998,-0.1399999
BroadleafTree_02_Green,0.1211135,-0.01999998,-0.1411135
Grove tree 146,0.1199999,-0.01999998,-0.1399999
Grove tree 009,0.1199989,-0.01999998,-0.1399989
BroadleafTree_02_Green,0.1200624,-0.01999998,-0.1400623
Grove tree 232,0.1199999,-0.01999998,-0.1399999
Grove tree 124,0.1199999,-0.01999998,-0.1399999
Grove tree 082,0.1199999,-0.01999998,-0.1399999
BroadleafTree_05_Green,0.1212339,-0.01999998,-0.1412339
BroadleafTree_05_Green,0.1201668,-0.0199995,-0.1401668
Grove tree 150,0.1199999,-0.01999998,-0.1399999
BroadleafTree_02_Green,0.1200595,-0.01999998,-0.1400595
BroadleafTree_05_Green,0.1208849,-0.02000046,-0.1408849
Grove tree 052,0.1199999,-0.01999998,-0.1399999
Lakeside willow 3,0.1483607,-0.01999998,-0.1683607
BroadleafTree_02_Green,0.1203995,-0.01999998,-0.1403995
Grove tree 221,0.1199999,-0.01999998,-0.1399999
Grove tree 131,0.1200008,-0.02000046,-0.1400008
Grove tree 035,0.1199999,-0.01999998,-0.1399999
Grove tree 097,0.1199999,-0.01999998,-0.1399999
Grove tree 045,0.1199999,-0.01999998,-0.1399999
BroadleafTree_05_Green,0.1202593,-0.01999998,-0.1402593
Grove tree 133,0.1199999,-0.01999998,-0.1399999
Grove tree 006,0.1199999,-0.01999998,-0.1399999
Grove tree 015,0.1199999,-0.01999998,-0.1399999
Grove tree 172,0.1199999,-0.01999998,-0.1399999
Grove tree 208,0.1199999,-0.01999998,-0.1399999
Grove tree 012,0.1199999,-0.01999998,-0.1399999
BroadleafTree_05_Green,0.1211987,-0.01999998,-0.1411987
Grove tree 051,0.1199989,-0.01999998,-0.1399989
Grove tree 105,0.1200008,-0.01999998,-0.1400008
Grove tree 041,0.1199999,-0.01999998,-0.1399999
Grove tree 192,0.1199999,-0.01999998,-0.1399999
Grove tree 019,0.1199999,-0.0199995,-0.1399999
BroadleafTree_05_Green,0.1201863,-0.01999998,-0.1401863
Grove tree 017,0.1199999,-0.01999998,-0.1399999
Grove tree 178,0.1199999,-0.02000046,-0.1399999
Grove tree 018,0.1199999,-0.0199995,-0.1399999
Grove tree 193,0.1199999,-0.01999998,-0.1399999
Grove tree 196,0.1199999,-0.01999998,-0.1399999
Grove tree 094,0.1199999,-0.01999998,-0.1399999
Grove tree 214,0.1199999,-0.01999998,-0.1399999
Grove tree 018,0.1200037,-0.01999998,-0.1400037
Grove tree 029,0.1199999,-0.01999998,-0.1399999
BroadleafTree_02_Green,0.1203365,-0.0199995,-0.1403365
