ax,az,bx,bz,cx,cz
-308.011475,-310.913025,-308.296967,-309.482849,-298.4904,-307.525452
-298.4904,-307.525452,-308.296967,-309.482849,-298.775879,-306.095154
-308.296967,-309.482849,-308.582458,-308.0525,-298.775879,-306.095154
-298.775879,-306.095154,-308.582458,-308.0525,-299.06134,-304.6649
-308.582458,-308.0525,-308.86792,-306.622223,-299.06134,-304.6649
-299.06134,-304.6649,-308.86792,-306.622223,-299.346832,-303.234619
-308.86792,-306.622223,-309.1534,-305.1919,-299.346832,-303.234619
-299.346832,-303.234619,-309.1534,-305.1919,-299.6323,-301.80426
-309.1534,-305.1919,-309.438873,-303.7616,-299.6323,-301.80426
-299.6323,-301.80426,-309.438873,-303.7616,-299.9178,-300.374023
-309.438873,-303.7616,-309.724365,-302.33136,-299.9178,-300.374023
-299.9178,-300.374023,-309.724365,-302.33136,-300.203247,-298.943756
-309.724365,-302.33136,-310.009827,-300.90097,-300.203247,-298.943756
-300.203247,-298.943756,-310.009827,-300.90097,-300.4887,-297.5134
-310.009827,-300.90097,-310.2953,-299.470734,-300.4887,-297.5134
-300.4887,-297.5134,-310.2953,-299.470734,-300.7742,-296.08313
-310.2953,-299.470734,-310.58078,-298.040466,-300.7742,-296.08313
-300.7742,-296.08313,-310.58078,-298.040466,-301.059662,-294.652771
-310.58078,-298.040466,-310.866241,-296.610168,-301.059662,-294.652771
-301.059662,-294.652771,-310.866241,-296.610168,-301.345184,-293.222473
-310.866241,-296.610168,-311.151764,-295.179871,-301.345184,-293.222473
-301.345184,-293.222473,-311.151764,-295.179871,-301.630646,-291.792267
-311.151764,-295.179871,-311.437225,-293.749481,-301.630646,-291.792267
-301.630646,-291.792267,-311.437225,-293.749481,-301.9161,-290.361938
-311.437225,-293.749481,-311.7227,-292.319275,-301.9161,-290.361938
-301.9161,-290.361938,-311.7227,-292.319275,-302.2016,-288.931671
-311.7227,-292.319275,-312.008179,-290.8889,-302.2016,-288.931671
-302.2016,-288.931671,-312.008179,-290.8889,-302.48703,-287.5013
-312.008179,-290.8889,-312.2936,-289.458649,-302.48703,-287.5013
-302.48703,-287.5013,-312.2936,-289.458649,-302.772552,-286.071045
-312.2936,-289.458649,-312.579132,-288.028381,-302.772552,-286.071045
-302.772552,-286.071045,-312.579132,-288.028381,-303.060333,-284.628937
-312.579132,-288.028381,-312.866974,-286.585968,-303.060333,-284.628937
-303.060333,-284.628937,-312.866974,-286.585968,-303.348145,-283.1867
-312.866974,-286.585968,-313.1548,-285.1438,-303.348145,-283.1867
-303.348145,-283.1867,-313.1548,-285.1438,-303.636,-281.744476
-313.1548,-285.1438,-313.442627,-283.701447,-303.636,-281.744476
-303.636,-281.744476,-313.442627,-283.701447,-303.923767,-280.302216
-313.442627,-283.701447,-313.7304,-282.259247,-303.923767,-280.302216
-303.923767,-280.302216,-313.7304,-282.259247,-304.2116,-278.859924
-313.7304,-282.259247,-314.01825,-280.817078,-304.2116,-278.859924
-304.2116,-278.859924,-314.01825,-280.817078,-304.49942,-277.4178
-314.01825,-280.817078,-314.306061,-279.374817,-304.49942,-277.4178
-304.49942,-277.4178,-314.306061,-279.374817,-304.787231,-275.975555
-314.306061,-279.374817,-314.593872,-277.932526,-304.787231,-275.975555
-304.787231,-275.975555,-314.593872,-277.932526,-305.075073,-274.5332
-314.593872,-277.932526,-314.881653,-276.490417,-305.075073,-274.5332
