x,z,area,grade
-98.06323,-70.54685,8.517608,0.004038045
-107.2682,-87.7188,17.03558,0.003881525
-123.1964,-115.9937,17.03587,0.003255827
-116.2217,-105.0386,17.03583,0.003725009
-125.6781,-122.0627,34.07093,0.003255782
-150.56,-167.6574,34.07106,0.002534981
-162.0277,-183.4985,17.03561,0.002023665
-155.053,-172.5435,17.03563,0.002564052
-141.1036,-150.6333,17.03522,0.002876416
-134.1289,-139.6783,17.03527,0.002976442
-143.5853,-156.7023,34.07109,0.002775302
-163.5037,-190.159,68.14204,0.002143911
-152.5388,-174.0222,34.07082,0.002592067
-158.5078,-185.5687,34.0708,0.002155026
-111.7328,-34.35,28.15123,0
-69.48994,-29.63793,76.63187,0.01709114
-214.0116,32.21303,30.98424,0.001247593
-224.8784,28.92809,26.84776,0.001327291
-270.4265,-32.92343,22.52966,0.00017286
-279.8284,-44.44706,22.5295,8.967172E-05
-266.1114,-25.5044,45.0601,0.0006312194
-252.7802,-4.904546,22.52972,0.0003457668
-241.6065,11.98581,11.26454,0.001328092
-245.9217,4.566788,11.26485,0.000345713
-254.7448,-9.442653,22.53002,0.0006775611
-259.06,-16.86168,22.53005,0.0006125456
-279.2497,-46.93288,45.05985,8.967001E-05
-267.6903,-31.69973,22.5295,0.0008719338
-272.0054,-39.11876,22.52993,0.0003457156
-281.0215,-52.2996,45.05965,0.0002261544
-285.3366,-59.71863,45.05946,0.0002407123
-320.4341,-38.73125,4.237969,0
-327.1637,-31.63524,57.45396,0
-342.9766,5.83431,45.01617,0
-358.3423,7.666875,25.21166,0.0002118312
-365.9854,7.635376,10.93206,0
-375.6505,24.50287,28.79052,0.0003614504
-371.7491,18.45284,33.92834,3.310592E-05
-346.4394,11.13916,21.58381,0
-322.7766,-34.81862,44.09589,0
-311.5054,-44.66378,36.06377,0
-277.2278,-11.63839,21.11863,0
-284.1909,-21.46746,10.55941,0
-280.198,-14.48314,10.55945,0
-291.641,-30.97279,10.55937,0.0002534622
-298.8476,-40.64,5.279533,0
-294.3678,-33.9794,5.279539,0.000253462
-285.4081,-20.65819,5.279706,0
-280.9283,-13.99757,5.279704,0
-287.1612,-24.31219,10.55939,0
-264.7621,8.990829,10.55946,0
-271.9687,-0.676356,5.279535,0.0002534622
-267.4889,5.984243,5.279548,0
-258.5292,19.30544,5.279881,0.0004258963
-254.0494,25.96604,5.279906,0.000610953
-260.2822,15.65143,10.55942,0.0002784918
-273.2348,-4.654068,21.11852,0.0002534626
-266.2716,5.174973,10.55958,0
-270.2646,-1.809326,10.55964,0.0002534607
-297.6304,-41.44926,21.11873,0.0003493112
-292.6637,-35.11235,21.11871,0.0004152861
-298.1663,-45.91254,42.23706,0.0001014641
-285.2137,-25.60702,21.1185,0
-278.2505,-15.77795,10.55893,0
-282.2434,-22.76227,10.55897,0
-290.2293,-36.73091,10.55957,0.001045742
-294.2223,-43.71522,10.55955,0.001092481
-289.2066,-32.59132,21.11864,0.0001519974
-293.8759,-6.090042,41.58083,0.0001286018
-308.4407,-24.90374,20.79098,0
-299.3795,-11.93034,20.79099,0.0001286017
-281.257,14.01648,20.78986,0.0001286012
-272.1958,26.98988,20.78978,0.0001286017
-284.8147,6.883367,41.58097,0.0001286014
-309.4898,-28.9551,41.58093,0
-312.5609,-36.41144,41.58125,0
-296.947,-13.54637,41.58049,0.0004428418
-306.5708,-30.89436,20.79047,0.0004427762
-303.4997,-23.43802,20.79024,0.000442779
-310.4424,1.39978,19.18689,0.0001564182
-319.8115,-8.489924,19.18679,0
-306.3986,7.488698,38.37512,0.0001564173
-293.6263,24.6114,19.18768,0
-284.8979,35.64516,19.18772,0.000156416
-297.3498,17.95045,38.37524,0
-318.8505,-10.20601,38.37447,0
-309.4814,-0.3163096,38.37467,0.0001564174
-322.2536,-17.439,76.74872,0
-320.8495,15.43068,16.9688,0
-329.4869,7.473643,16.96891,0.0001842322
-317.06,20.66791,33.93824,0
-305.1623,35.1209,16.9689,0.0001841776
-297.0541,44.33664,16.96885,0
-308.6872,29.2543,33.93827,0.0001841768
-328.693,5.585571,33.93854,0.0001842341
-320.0555,13.54261,33.93832,0
-331.9532,-0.9104004,67.87617,0.0004361037
-343.1175,16.68552,46.39164,0.0001498767
-334.5453,26.86542,23.19592,0.0003058476
-338.961,19.21621,23.19578,0.0003945655
-324.9986,36.39837,23.19624,0
-315.9392,46.25476,11.59805,0.0002308013
-321.3293,39.25252,11.59804,0
-329.9016,29.07266,23.19633,0
-337.4996,18.2458,11.59841,0.0002308728
-333.0838,25.895,11.59848,0
-305.0953,60.14557,51.7228,0
-291.2306,57.61485,26.41833,0
-256.2301,41.5845,54.80719,0.0004561378
-373.4242,22.38974,12.75508,0.0008900029
-346.2546,60.71978,22.19488,0
-339.3828,65.64617,22.19484,0
-348.091,56.5323,44.39044,0
-288.7439,90.07,9.654533,9.542105E-05
-225.7436,57.85229,23.12809,0.001067037
-209.0621,46.64183,11.56397,0.0008701113
-216.2767,50.87405,11.56408,0.001110865
-230.0284,59.65345,23.12775,0.0007737858
-237.243,63.88567,23.12802,0.0007737859
-252.3497,72.03513,11.56447,0.001058951
-259.5643,76.26734,11.56427,0.0007768088
-270.7249,82.45816,5.782038,0.0005914975
-277.9395,86.69037,5.782053,0.000295748
-266.4402,80.65702,11.56428,0.0005915015
-251.3334,72.50756,23.12765,0.0008788622
-243.4413,68.5903,23.128,0.0008348289
-210.6369,49.70283,46.25692,0.0009159684
-227.6572,60.75581,23.12866,0.000869088
-219.7651,56.83856,23.12842,0.0007637709
-205.3359,48.37411,46.25638,0.0009268127
-197.4438,44.45686,46.25665,0.0007585578
-138.8663,18.7744,27.09162,0.0008812501
-152.2559,26.71979,13.54564,0
-143.0107,22.1329,13.54573,0.000197276
-124.5201,12.95912,13.5461,0.01035603
-112.844,7.491786,6.772927,0.09035398
-118.8016,9.959188,3.386514,0.01740998
-115.3944,8.105972,1.693195,0.03111796
-117.8254,8.986424,1.693201,0.02222024
-129.6211,14.1875,27.0915,0.001611688
-157.8352,26.88313,54.18272,0
-144.2065,19.47027,27.09182,0
-153.9301,22.99211,27.09187,0
-148.1857,50.79248,6.099492,0
-120.3883,37.29625,21.71847,0.001885893
-112.7152,30.56169,5.429598,0.01035655
-108.1477,26.47422,2.714833,0.03091228
-111.4349,28.88761,2.714841,0.01737796
-117.8277,33.94809,10.85917,0.005253363
-130.9765,43.6017,10.85925,0.0002496188
-137.551,48.42851,10.85921,0
-126.9627,42.12305,21.71851,0.0006334221
-111.262,32.43118,10.85915,0.008095508
-107.6028,27.17529,5.429598,0.03238439
-110.5267,30.05606,5.429598,0.01905487
-116.0112,36.28498,21.71833,0.0058303
-104.6876,27.6044,21.71827,0.04019953
-106.8849,31.41991,21.71827,0.01246225
-51.77026,-13.56156,27.94487,0.01221194
-52.28864,-19.19933,27.9449,0.02084245
-102.1024,3.843979,12.75468,0.04357914
-98.35448,6.052251,6.377315,0.05126027
-99.45953,3.888652,6.377375,0.04065831
-97.96894,11.51595,25.02977,0.04677841
-58.295,2.871053,37.52188,0.001341399
-68.77438,11.10298,37.52194,0.001038825
-50.9216,0.2616831,75.04372,0.002578213
0.2826322,-41.96737,16.55918,0.05147012
-2.434221,-38.82881,8.279577,0.05800176
-0.02250036,-38.90599,8.279594,0.07700758
20.37622,-22.37179,8.508479,0.06089418
23.72217,-19.58002,2.127122,0.0835897
25.2655,-18.57486,2.127113,0.09702612
22.4319,-21.6455,4.254249,0.06224724
17.79566,-26.50277,17.01706,0.03769089
22.70373,-17.18048,4.254266,0.06030144
22.19764,-15.05982,4.254272,0.05849599
25.27176,-16.73307,4.254296,0.09728694
23.72843,-17.73823,4.254308,0.07461147
19.87012,-20.25113,8.508562,0.05134676
20.65431,-16.06499,4.254255,0.0498818
21.1604,-18.18564,4.254249,0.05318879
12.6408,-32.92295,8.508554,0.05702995
10.06025,-37.05392,4.254305,0.07423954
11.09748,-33.9281,4.254287,0.09031643
6.967335,-40.90604,4.254242,0.07342879
4.1306,-44.89759,2.127134,0.05637984
5.680187,-42.05064,2.127148,0.05918909
9.294852,-35.71472,1.063547,0.08998358
7.876486,-37.71049,0.5317848,0.09162868
8.651279,-36.28702,0.5317841,0.1033453
10.32895,-33.50979,2.127111,0.09927952
8.516921,-38.05908,4.254246,0.08441007
15.23389,-25.1084,8.508574,0.04798418
18.85168,-17.8516,4.254225,0.05206638
17.81445,-20.97742,4.254296,0.04908453
14.70901,-28.5131,17.01713,0.04987426
16.34666,-58.67442,30.20034,0.03144478
84.24198,-91.23968,33.59378,0.02373202
67.09493,-82.60417,16.79683,0.02324935
78.86555,-87.66129,16.7968,0.02211595
